Nº,Card,Check
1,"Éowyn, Shieldmaiden",TRUE
2,"Frodo, Adventurous Hobbit",TRUE
3,"Galadriel, Elven-Queen",TRUE
4,"Sauron, Lord of the Rings",TRUE
5,"Aragorn, King of Gondor",TRUE
6,"Gandalf, Westward Voyager",TRUE
7,"Sam, Loyal Attendant",TRUE
8,"Saruman, the White Hand",TRUE
9,Beregond of the Guard,TRUE
10,Champions of Minas Tirith,TRUE
11,Field-Tested Frying Pan,TRUE
12,The Gaffer,TRUE
13,"Gilraen, Dúnedain Protector",TRUE
14,Grey Host Reinforcements,TRUE
15,"Gwaihir, Greatest of the Eagles",TRUE
16,Lossarnach Captain,TRUE
17,Of Herbs and Stewed Rabbit,TRUE
18,Archivist of Gondor,TRUE
19,Corsairs of Umbar,TRUE
20,"Denethor, Stone Seer",TRUE
21,Fealty to the Realm,TRUE
22,Monstrosity of the Lake,TRUE
23,Raise the Palisade,TRUE
24,Subjugate the Hobbits,TRUE
25,Trap the Trespassers,TRUE
26,"Gollum, Obsessed Stalker",TRUE
27,"Lobelia, Defender of Bag End",TRUE
28,Rapacious Guest,TRUE
29,"Shelob, Dread Weaver",TRUE
30,Call for Aid,TRUE
31,Cavern-Hoard Dragon,TRUE
32,Gimli of the Glittering Caves,TRUE
33,Orcish Siegemaster,TRUE
34,Rampaging War Mammoth,TRUE
35,"Arwen, Weaver of Hope",TRUE
36,Assemble the Entmoot,TRUE
37,Feasting Hobbit,TRUE
38,Galadhrim Ambush,TRUE
39,"Haldir, Lórien Lieutenant",TRUE
40,Legolas Greenleaf,TRUE
41,Mirkwood Elk,TRUE
42,Motivated Pony,TRUE
43,Prize Pig,TRUE
44,Travel Through Caradhras,TRUE
45,Windswift Slice,TRUE
46,The Balrog of Moria,TRUE
47,Banquet Guests,TRUE
48,"Bilbo, Birthday Celebrant",TRUE
49,"Boromir, Gondor's Hope",TRUE
50,Círdan the Shipwright,TRUE
51,Elrond of the White Council,TRUE
52,"Éomer, King of Rohan",TRUE
53,Erestor of the Council,TRUE
54,"Faramir, Steward of Gondor",TRUE
55,Farmer Cotton,TRUE
56,Forth Eorlingas!,TRUE
57,"Gríma, Saruman's Footman",TRUE
58,In the Darkness Bind Them,TRUE
59,Lidless Gaze,TRUE
60,Lord of the Nazgûl,TRUE
61,"Merry, Warden of Isengard",TRUE
62,Mirkwood Trapper,TRUE
63,Moria Scavenger,TRUE
64,Oath of Eorl,TRUE
65,"Pippin, Warden of Isengard",TRUE
66,"Radagast, Wizard of Wilds",TRUE
67,Riders of Rohan,TRUE
68,Sail into the West,TRUE
69,Song of Eärendil,TRUE
70,Summons of Saruman,TRUE
71,Taunt from the Rampart,TRUE
72,"Too Greedily, Too Deep",TRUE
73,"Treebeard, Gracious Host",TRUE
74,Wake the Dragon,TRUE
75,Crown of Gondor,TRUE
76,Hithlain Rope,TRUE
77,Lothlórien Blade,TRUE
78,Model of Unity,TRUE
79,Relic of Sauron,TRUE
80,The Black Gate,TRUE
81,"Éowyn, Shieldmaiden",TRUE
82,"Frodo, Adventurous Hobbit",TRUE
83,"Galadriel, Elven-Queen",TRUE
84,"Sauron, Lord of the Rings",TRUE
85,"Aragorn, King of Gondor",FALSE
86,"Éowyn, Shieldmaiden",FALSE
87,"Frodo, Adventurous Hobbit",FALSE
88,"Galadriel, Elven-Queen",FALSE
89,"Gandalf, Westward Voyager",FALSE
90,"Sam, Loyal Attendant",FALSE
91,"Saruman, the White Hand",FALSE
92,"Sauron, Lord of the Rings",FALSE
93,Beregond of the Guard,FALSE
94,Champions of Minas Tirith,FALSE
95,Field-Tested Frying Pan,FALSE
96,The Gaffer,FALSE
97,"Gilraen, Dúnedain Protector",FALSE
98,Grey Host Reinforcements,FALSE
99,"Gwaihir, Greatest of the Eagles",FALSE
100,Lossarnach Captain,FALSE
101,Archivist of Gondor,TRUE
102,Corsairs of Umbar,FALSE
103,"Denethor, Stone Seer",TRUE
104,Fealty to the Realm,FALSE
105,Monstrosity of the Lake,FALSE
106,Raise the Palisade,FALSE
107,Subjugate the Hobbits,FALSE
108,Trap the Trespassers,FALSE
109,"Gollum, Obsessed Stalker",FALSE
110,"Lobelia, Defender of Bag End",TRUE
111,Rapacious Guest,FALSE
112,"Shelob, Dread Weaver",FALSE
113,Call for Aid,FALSE
114,Cavern-Hoard Dragon,FALSE
115,Gimli of the Glittering Caves,FALSE
116,Orcish Siegemaster,FALSE
117,Rampaging War Mammoth,FALSE
118,"Arwen, Weaver of Hope",FALSE
119,Assemble the Entmoot,FALSE
120,Feasting Hobbit,FALSE
121,Galadhrim Ambush,FALSE
122,"Haldir, Lórien Lieutenant",FALSE
123,Legolas Greenleaf,FALSE
124,Mirkwood Elk,FALSE
125,Motivated Pony,FALSE
126,Prize Pig,TRUE
127,Travel Through Caradhras,FALSE
128,Windswift Slice,FALSE
129,The Balrog of Moria,FALSE
130,Banquet Guests,FALSE
131,"Bilbo, Birthday Celebrant",FALSE
132,"Boromir, Gondor's Hope",FALSE
133,Círdan the Shipwright,FALSE
134,Elrond of the White Council,FALSE
135,"Éomer, King of Rohan",FALSE
136,Erestor of the Council,FALSE
137,"Faramir, Steward of Gondor",FALSE
138,Farmer Cotton,FALSE
139,Forth Eorlingas!,FALSE
140,"Gríma, Saruman's Footman",FALSE
141,Lidless Gaze,FALSE
142,Lord of the Nazgûl,FALSE
143,"Merry, Warden of Isengard",FALSE
144,Mirkwood Trapper,TRUE
145,Moria Scavenger,FALSE
146,"Pippin, Warden of Isengard",FALSE
147,"Radagast, Wizard of Wilds",FALSE
148,Riders of Rohan,FALSE
149,Sail into the West,FALSE
150,Summons of Saruman,TRUE
151,Taunt from the Rampart,TRUE
152,"Too Greedily, Too Deep",FALSE
153,"Treebeard, Gracious Host",FALSE
154,Wake the Dragon,FALSE
155,Crown of Gondor,FALSE
156,Hithlain Rope,FALSE
157,Lothlórien Blade,FALSE
158,Model of Unity,FALSE
159,Relic of Sauron,FALSE
160,The Black Gate,FALSE
161,Banishing Light,TRUE
162,Bastion Protector,TRUE
163,Call for Unity,TRUE
164,Dawn of Hope,TRUE
165,Dearly Departed,TRUE
166,Dusk // Dawn,TRUE
167,Fell the Mighty,TRUE
168,Fiend Hunter,TRUE
169,Frontline Medic,TRUE
170,Fumigate,TRUE
171,Increasing Devotion,TRUE
172,Marshal's Anthem,TRUE
173,Mentor of the Meek,TRUE
174,Palace Jailer,TRUE
