Nº,Card,Check
1,Banish from Edoras,TRUE
2,The Battle of Bywater,TRUE
3,Bill the Pony,TRUE
4,"Boromir, Warden of the Tower",FALSE
5,Dawn of a New Age,TRUE
6,Dúnedain Blade,TRUE
7,Eagles of the North,TRUE
8,Eastfarthing Farmer,TRUE
9,East-Mark Cavalier,TRUE
10,"Éowyn, Lady of Rohan",TRUE
11,Errand-Rider of Gondor,TRUE
12,Escape from Orthanc,TRUE
13,Esquire of the King,TRUE
14,"Faramir, Field Commander",TRUE
15,Flowering of the White Tree,FALSE
16,Fog on the Barrow-Downs,TRUE
17,Forge Anew,TRUE
18,"Frodo, Sauron's Bane",TRUE
19,Gandalf the White,FALSE
20,Hobbit's Sting,TRUE
21,"Landroval, Horizon Witness",TRUE
22,Lost to Legend,TRUE
23,Nimble Hobbit,TRUE
24,"Now for Wrath, Now for Ruin!",TRUE
25,Protector of Gondor,TRUE
26,Reprieve,TRUE
27,Rosie Cotton of South Lane,TRUE
28,Samwise the Stouthearted,TRUE
29,Second Breakfast,TRUE
30,Shire Shirriff,TRUE
31,Slip On the Ring,TRUE
32,Soldier of the Grey Host,TRUE
33,Stalwarts of Osgiliath,TRUE
34,Tale of Tinúviel,TRUE
35,Took Reaper,TRUE
36,War of the Last Alliance,TRUE
37,Westfold Rider,TRUE
38,You Cannot Pass!,TRUE
39,Arwen's Gift,TRUE
40,The Bath Song,TRUE
41,Bewitching Leechcraft,TRUE
42,"Bill Ferny, Bree Swindler",TRUE
43,Birthday Escape,TRUE
44,Borne Upon a Wind,TRUE
45,Captain of Umbar,TRUE
46,Council's Deliberation,TRUE
47,Deceive the Messenger,TRUE
48,Dreadful as the Storm,TRUE
49,"Elrond, Lord of Rivendell",TRUE
50,"Gandalf, Friend of the Shire",TRUE
51,Glorious Gale,TRUE
52,"Goldberry, River-Daughter",TRUE
53,Grey Havens Navigator,TRUE
54,Hithlain Knots,TRUE
55,Horses of the Bruinen,TRUE
56,Ioreth of the Healing House,TRUE
57,Isolation at Orthanc,TRUE
58,Ithilien Kingfisher,TRUE
59,Knights of Dol Amroth,TRUE
60,Lórien Revealed,TRUE
61,Lost Isle Calling,TRUE
62,"Meneldor, Swift Savior",TRUE
63,Nimrodel Watcher,TRUE
64,Pelargir Survivor,TRUE
65,Press the Enemy,TRUE
66,Rangers of Ithilien,TRUE
67,Saruman the White,TRUE
68,Saruman's Trickery,TRUE
69,Scroll of Isildur,TRUE
70,Soothing of Sméagol,TRUE
71,Stern Scolding,TRUE
72,Storm of Saruman,FALSE
73,Surrounded by Orcs,TRUE
74,Treason of Isengard,TRUE
75,The Watcher in the Water,TRUE
76,Willow-Wind,TRUE
77,Bitter Downfall,TRUE
78,The Black Breath,TRUE
79,Call of the Ring,FALSE
80,Cirith Ungol Patrol,TRUE
81,Claim the Precious,TRUE
82,Dunland Crebain,TRUE
83,Easterling Vanguard,TRUE
84,"Gollum, Patient Plotter",TRUE
85,Gollum's Bite,TRUE
