"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Acordar o Dragao","Wake the Dragon",1,NM,PTEN,R,M,,74,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Alce da Floresta das Trevas","Mirkwood Elk",1,NM,PTEN,R,G,,41,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Aldeia Fortificada","Fortified Village",1,NM,PTEN,R,L,,311,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Alimentar o Enxame","Feed the Swarm",1,NM,PTEN,C,B,,200,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Alquimia Proibida","Forbidden Alchemy",1,NM,PTEN,C,U,,191,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Analise Profunda","Deep Analysis",1,NM,PTEN,C,U,,188,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Andarilho do Pomar","Orchard Strider",1,NM,PTEN,C,G,,253,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Anel Solar","Sol Ring",1,NM,PTEN,U,C,,284,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Angra Tranquila","Tranquil Cove",1,NM,PTEN,C,L,,340,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Animosidade Compartilhada","Shared Animosity",1,NM,PTEN,R,R,,226,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Anoitecer // Alvorecer","Dusk // Dawn",1,NM,PTEN,R,W,,166,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Antifona do Marechal","Marshal's Anthem",1,NM,PTEN,R,W,,172,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Apelo ao Poder","Plea for Power",1,NM,PTEN,R,U,,195,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Aprender com o Passado","Learn from the Past",1,NM,PTEN,U,U,,192,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Aragorn, Rei de Gondor","Aragorn, King of Gondor",1,NM,PTEN,M,M,,5,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Armadilheiro da Floresta das Trevas","Mirkwood Trapper",1,NM,PTEN,R,M,,62,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Arqueodruida Elfo","Elvish Archdruid",1,NM,PTEN,R,G,,237,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Arquivista de Gondor","Archivist of Gondor",1,NM,PTEN,R,U,,18,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Arwen, Tecela da Esperanca","Arwen, Weaver of Hope",1,NM,PTEN,R,G,,35,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Asceticismo,Asceticism,1,NM,PTEN,R,G,,233,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Atacar na Jugular","Go for the Throat",1,NM,PTEN,U,B,,201,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Atirador da Sarjeta",Guttersnipe,1,NM,PTEN,U,R,,220,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Ato Blasfemo","Blasphemous Act",1,NM,PTEN,R,R,,211,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Aurora da Esperanca","Dawn of Hope",1,NM,PTEN,R,W,,164,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Avante, Eorlingas!","Forth Eorlingas!",1,NM,PTEN,R,M,,56,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Aves do Paraiso","Birds of Paradise",1,NM,PTEN,R,G,,235,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Baleia Colossal","Colossal Whale",1,NM,PTEN,R,U,,186,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Banco de Areia Isolado","Lonely Sandbar",1,NM,PTEN,U,L,,319,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Barbarvore, Anfitriao Gracioso","Treebeard, Gracious Host",1,NM,PTEN,R,M,,73,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Batedor de Tesouros","Treasure Nabber",1,NM,PTEN,R,R,,230,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Belicista da Fronteira","Frontier Warmonger",1,NM,PTEN,R,R,,217,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Beregond da Guarda","Beregond of the Guard",1,NM,PTEN,R,W,,9,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Bijuteria do Viajante","Wayfarer's Bauble",1,NM,PTEN,C,C,,290,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Bilbo, Aniversariante","Bilbo, Birthday Celebrant",1,NM,PTEN,R,M,,48,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Boromir, Esperanca de Gondor","Boromir, Gondor's Hope",1,NM,PTEN,R,M,,49,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Bosque Alagado","Flooded Grove",1,NM,PTEN,R,L,,309,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Bosque da Petala Solar","Sunpetal Grove",1,NM,PTEN,R,L,,336,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Bosque Murmurante","Murmuring Bosk",1,NM,PTEN,R,L,,320,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Bosque Sereno","Tranquil Thicket",1,NM,PTEN,U,L,,341,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Bosques Esparsos","Scattered Groves",1,NM,PTEN,R,L,,328,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Busca Longinqua",Farseek,1,NM,PTEN,C,G,,244,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Buscadores de Reinos","Realm Seekers",1,NM,PTEN,R,G,,258,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cacador de Demonio","Fiend Hunter",1,NM,PTEN,U,W,,168,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cacadora Calejada","Savvy Hunter",1,NM,PTEN,U,M,,271,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cachoeira dos Espinhos","Thornwood Falls",1,NM,PTEN,C,L,,338,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Calice do Fluxo Perene","Everflowing Chalice",1,NM,PTEN,U,C,,278,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Caminho da Ascendencia","Path of Ancestry",1,NM,PTEN,C,L,,322,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Caminho para o Exilio","Path to Exile",1,NM,PTEN,U,W,,175,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Campeoes de Minas Tirith","Champions of Minas Tirith",1,NM,PTEN,R,W,,10,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Campo da Ruina","Field of Ruin",1,NM,PTEN,U,L,,308,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cancao de Earendil","Song of Earendil",1,NM,PTEN,R,M,,69,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cancao do Cisne","Swan Song",1,NM,PTEN,R,U,,197,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Capela Isolada","Isolated Chapel",1,NM,PTEN,R,L,,318,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Capita de Lossarnach","Lossarnach Captain",1,NM,PTEN,R,W,,16,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Carcereiro do Palacio","Palace Jailer",1,NM,PTEN,U,W,,174,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Carniceiro de Moria","Moria Scavenger",1,NM,PTEN,R,M,,63,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cascata de Enxofre","Sulfur Falls",1,NM,PTEN,R,L,,333,
